index,efficacy
0,利水
1,利湿
2,消肿
3,退黄
4,杀虫
5,止痒
6,通淋
7,凉血
8,泻火
9,清热
10,解毒
11,除烦
12,养肝
13,固胎
14,明目
15,止泄
16,益精
17,补肾
18,化痰
19,散结
20,止呕
21,消痞
22,燥湿
23,降逆
24,润肠
25,通便
26,润肺
27,健脾
28,和胃
29,宁心
30,安神
31,渗湿
32,和中
33,开胃
34,消食
35,利尿
36,清心
37,消瘀
38,祛风
39,通络
40,止痛
41,祛瘀
42,行血
43,胜湿
44,解痉
45,解表
46,固精
47,敛疮
48,止咳
49,止血
50,涩肠
51,强筋骨
52,止崩漏
53,补肝
54,调血脉
55,利咽
56,散风
57,除热
58,退翳
59,透疹
60,下乳
61,活血
62,消痈
63,通经
64,散瘀
65,消癥
66,破血
67,逐瘀
68,散寒
69,安胎
70,祛风湿
71,攻毒
72,祛痰
73,祛腐
74,逐水
75,宽中
76,理气
77,消胀
78,行滞
79,消积
80,生肌
81,养胃
82,养血
83,和药性
84,益气
85,补脾
86,调和营卫
87,散热
88,润燥
89,清肝
90,清肺
91,疏风
92,生津
93,导滞
94,化瘀
95,溃坚
96,行气
97,镇痛
98,安蛔
99,养阴
100,清火
101,补气
102,暖肾
103,温中
104,化湿
105,排脓
106,止泻
107,除湿
108,补心
109,补血
110,去腐
111,涌吐风痰
112,舒筋
113,下气
114,坠痰
115,平肝
116,攻积
117,镇惊
118,滋阴
119,益胃
120,平喘
121,纳气
122,解郁
123,化滞
124,散风热
125,利气
126,宽胸
127,益肾
128,截疟
129,疏肝
130,泻水
131,逐饮
132,调经
133,止渴
134,泻下
135,行水
136,壮阳
137,温肺
138,通乳
139,敛肺
140,下痰
141,止嗽
142,泻肺
143,降气
144,止带
145,缩尿
146,定痛
147,散血
148,劫痰
149,退乳
150,缓急
151,补中
152,调和诸药
153,发表
154,宣郁
155,解肌
156,软坚
157,消暑
158,退目翳
159,养心
160,敛汗
161,乌发
162,生发
163,清头目
164,收涩
165,降火
166,升举阳气
167,退热
168,化饮
169,回阳
170,通脉
171,开窍
172,辟秽
173,通窍
174,助阳
175,收敛
176,温肾
177,解暑
178,滑肠
179,发汗
180,托毒
181,消毒
182,祛寒
183,化积
184,温经
185,温脾
186,反胃
187,尿血
188,治便血
189,消渴
190,疳疮
191,痈肿
192,血崩
193,止痉
194,舒肝
195,祛湿
196,固涩
197,止遗
198,通鼻窍
199,消痰
200,定喘
201,补肺
202,止汗
203,定惊
204,祛暑
205,滋肾
206,和血
207,缓肝
208,宣肺
209,和营
210,敛阴
211,疗癣
212,攻积滞
213,清湿热
214,止目痛
215,熄风
216,化气
217,固表
218,暖宫
219,镇心
220,拔毒
221,提脓
222,潜阳
223,利窍
224,豁痰
225,破瘀
226,蚀腐
227,开结
228,散郁
229,补益
230,治外伤出血
231,消炎
232,重镇
233,清暑
234,升阳
235,清虚热
236,利关节
237,麻醉
238,开痹
239,消斑
240,宣散风热
241,解渴
242,接骨
243,续筋
244,聪耳
245,利痹
246,救逆
247,补火
248,补阴
249,凉肝
250,实腠理
251,利小便
252,收湿
253,活络
254,坑癌
255,调中
256,制酸
257,止痢
258,消肿毒
259,降压
260,醒神
261,引火归源
262,除痹
263,散风寒
264,解热
265,强骨
266,行瘀
267,泄热
268,散痞
269,破气
270,填髓
271,滋润
272,强心
273,除蒸
274,镇咳
275,养肺
276,固肾
277,灭虱
278,涩精
279,举陷
280,补元
281,杀菌
282,防腐
283,化淤
284,清利
285,湿热
286,疗疮
287,润肤
288,解酒毒
289,醒胃
290,散气
291,利大便
292,消痔
293,清肠
294,治蛇虫咬伤
295,消水
296,化食
297,壮骨
298,强筋
299,消瘿
300,排浓
301,泄邪
302,逐邪
303,引火下行
304,开闭
305,祛顽痰
306,溃脓
307,泻热
308,止搐
309,透筋骨
310,健胃
311,芳香化湿
312,醒脾
313,通阳
314,凉心
315,固脱
316,健腰脚
317,除风湿
318,益精血
319,追风
320,芳香化浊
321,驱虫
322,大补元气
323,益智
324,益肺
325,消滞
326,回乳
327,利湿热
328,破积
329,健骨
330,厚肠
331,养肺气
332,补骨髓
333,泻肝
334,消疳热
335,退虚热
336,快膈
337,复脉
338,摄血
339,去瘀
340,益阴
341,暖肝
342,开郁
343,祛风痰
344,涤痰
345,除虚热
346,利浊
347,摄涎
348,搜风
349,社痰
350,泄浊
351,泻下寒积
352,蚀疮
353,退肿
354,除满
355,壮元阳
356,温肺气
357,利胆
358,退黄疸
359,填精
